"CodMat","CodFam","Descri","UniMat","CosMat","Desper","Provee","Consum","FecMat","Importado"
"MT1798","05","TUBO DE CONCRETO J.G. D = 1,65 M (66"") C","m","3070,83","5","CONCRETERA SANTA RITA C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1800","05","TUBO DE CONCRETO J.G. D = 1,80 M (72"") C","m","3194,38","5","CONCRETERA SANTA RITA C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1802","05","TUBO DE CONCRETO J.G. D = 2,10 M (84"") C","m","2572,93","5","CONCRETERA SANTA RITA C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1804","05","TUBO DE CONCRETO J.G. D = 2,40 M (96"") C","m","3290,93","5","CONCRETERA SANTA RITA C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1806","05","TUBO DE CONCRETO J.G. D = 2,70 M (108"") ","m","3538,49","5","CONCRETERA CARACAS C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1808","01","REJA ACERO P/SUMIDERO 1,5X0,90 M P=290KG","kgf","3,28","0","PERTUCA","","4/5/2026 12:00:00 a. m.","False"
"MT1812","00","TAPON DE REGISTRO BRONCE D=2"" A.N.","pza","7,69","0","","","4/5/2026 12:00:00 a. m.","False"
"MT1823","01","LANA / LANILLA DE ACERO Nº  3 DE 160 GRS","paq","3,28","3","EPA SUPER-FERRETERIA","","4/5/2026 12:00:00 a. m.","False"
"MT1832","18","ACACIA PLANTA (ARBUSTO PEQUEÑO) EN BOLSA","und","9,88","0","","","4/5/2026 12:00:00 a. m.","False"
"MT1833","18","JAZMIN FALCON (PLANTA-ARBUSTO) <1M","und","5,54","5","VIVERO DEL ESTE","","4/5/2026 12:00:00 a. m.","False"
"MT1834","18","FAJINA MADERA LARGO=1.80 M P/TALUDES","und","0,16","0","VIVERO DEL ESTE","","4/5/2026 12:00:00 a. m.","False"
"MT1835","18","APAMATE PEQUEÑO/PLANTA-ARBUSTO <0,5M","und","22,02","0","VIVERO DEL ESTE","","4/5/2026 12:00:00 a. m.","False"
"MT1836","18","CAOBA ARBOL (PLANTA - ARBUSTO) < 1M","und","16,5","0","VIVERO DEL ESTE","","4/5/2026 12:00:00 a. m.","False"
"MT1839","15","VENTANA BASCULANTE PERFIL HIERRO C/VIDRI","m2","16,79","0","METALURGICA M.B.R., C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1853","18","PALMA-PALMERA ARECA MEDIANA (ARBUSTO) <1","und","16,5","0","VIVERO DEL ESTE","","4/5/2026 12:00:00 a. m.","False"
"MT1854","18","CROTO JARDINERIA (PLANTA-ARBUSTO 1M)","und","11,02","0","VIVERO DEL ESTE","","4/5/2026 12:00:00 a. m.","False"
"MT1855","18","PLANTA/ARBUSTO DE CAYENA (ORNAMENTAL)","und","4,41","0","","","4/5/2026 12:00:00 a. m.","False"
"MT1856","00","ENDURECEDOR KEMOX H-100 25 KG/SCO","kgf","1,34","0","SUPLITEC C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1857","18","GRAMA LENGUA DE VACA 1,5 M2/SACO","sco","5,54","5","VIVERO DEL ESTE","","4/5/2026 12:00:00 a. m.","False"
"MT1858","18","ROSA/FLOR DE BERBERIA / PLANTA-ARBUSTO","und","4,41","0","","","4/5/2026 12:00:00 a. m.","False"
"MT1859","18","NARANJILLO / JARDINERIA (PLANTA-ARBUSTO)","und","3,28","0","VIVERO DEL ESTE","","4/5/2026 12:00:00 a. m.","False"
"MT186","14","TABLERO RESIDENCIAL 4 CIRCUITOS/ 4C+1F","pza","24,26","0","","","4/5/2026 12:00:00 a. m.","False"
"MT1863","01","LAMINA ACERO L=2.40 X 1,20 MTS E=6MM","kgf","2,61","3","","","4/5/2026 12:00:00 a. m.","False"
"MT187","14","TABLERO RESIDENCIAL 20 CIRCUITOS 2F+ 20C","pza","253,48","0","","","4/5/2026 12:00:00 a. m.","False"
"MT188","14","TABLERO RESIDENCIAL 8 CIRCUITOS 2F+ 8C/B","pza","99,2","0","","","4/5/2026 12:00:00 a. m.","False"
"MT1884","00","TUBO PVC A.N. D=8"" (200 MM) 3 M NORMA E=","m","41,85","5","TUVENSA","","4/5/2026 12:00:00 a. m.","False"
"MT1886","14","CABEZOTE/COPA DE ENTRADA D=2"" EMT","pza","22,02","2","RODRIGUEZ BLANCO-DIST. ROBLAN C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1889","00","ANILLO ELASTOMERO D= 160 MM PAVCO P/JTA ","pza","0,85","0","","","4/5/2026 12:00:00 a. m.","False"
"MT1890","00","ANILLO ELASTOMERO D= 200 MM PAVCO P/JTA ","pza","0,97","0","","","4/5/2026 12:00:00 a. m.","False"
"MT1898","01","CLAVOS D/ACERO P/PISTOLA D/FIJACION L=1""","pza","0,36","5","RETALACA","","4/5/2026 12:00:00 a. m.","False"
"MT190","14","TABLERO RESIDENCIAL 12 CIRCUITOS BIEMCA ","pza","71,65","0","","","4/5/2026 12:00:00 a. m.","False"
"MT1907","01","PERFIL ACERO ELECTROSOLDADO VP 160MM 16,","kgf","2,61","5","PROPERCA","","4/5/2026 12:00:00 a. m.","False"
"MT1908","01","TUBO DE ACERO RECTANG. 120 X 60MM E=2.50","kgf","3,22","5","CABIPERCA","","4/5/2026 12:00:00 a. m.","False"
"MT1923","00","GRASA FIBROSA","kgf","10,6","0","","","4/5/2026 12:00:00 a. m.","False"
"MT1924","00","GRASA VEGETAL O ANIMAL","kgf","0,97","2","","","4/5/2026 12:00:00 a. m.","False"
"MT1940","13","EXTENSION C/ENCHUFE P/CALENTADOR","und","12,13","0","","","4/5/2026 12:00:00 a. m.","False"
