"CodMan","CodFam","Descri","Salari","Superv","FecMan"
"DIS036","01","GERENTE DE PROYECTOS P-10 O SIMILAR","159,61","","4/5/2026 12:00:00 a. m."
"DIS037","01","LICENCIADO(A) ADMINISTRACION-CONTRATACIO","85,89","","4/5/2026 12:00:00 a. m."
"DIS038","01","INGENIERO DE MANTENIMIENTO P-7 CIV 14-15","43,27","","4/5/2026 12:00:00 a. m."
"DIS039","01","PROFESIONAL CIV ESTIMADOR COSTOS P-10 (+","71,48","","4/5/2026 12:00:00 a. m."
"DIS040","01","INGENIERO PLANIFICADOR P-4 CIV (7 A 8 AÑ","30,81","","4/5/2026 12:00:00 a. m."
"DIS041","01","INGENIERO DE COSTOS P-9 CIV (19-20 AÑOS ","52,03","","4/5/2026 12:00:00 a. m."
"DIS042","01","INGENIERO COMPUTISTA P-9 CIV (19-20 AÑOS","52,03","","4/5/2026 12:00:00 a. m."
"DIS043","01","PLANIFICADOR DE CONTRATACIONES P-10 (CIV","159,61","","4/5/2026 12:00:00 a. m."
"DIS044","01","INGENIERO DE PLANTA P-6 CIV (11 A 12 AÑO","37,93","","4/5/2026 12:00:00 a. m."
"DIS045","01","INGENIERO DE PLANTA","75,78","","4/5/2026 12:00:00 a. m."
"DIS046","01","AUXILIAR DE DESPACHO","33,34","","4/5/2026 12:00:00 a. m."
"DIS047","01","AUXILIAR DE PRODUCCION","33,34","","4/5/2026 12:00:00 a. m."
"DIS048","01","ANALISTA DE CALIDAD","33,34","","4/5/2026 12:00:00 a. m."
"DIS049","01","TRABAJADOR ESPECIAL PETROQUIMICO","22,23","","4/5/2026 12:00:00 a. m."
"DIS050","01","SERVICIO INGENIERIA SEMANAL P/DIA MANTEN","1369,2","","4/5/2026 12:00:00 a. m."
"DIS051","01","SERV. INGENIERIA SEM P/DIA FERIADO/FIN S","2581,68","","4/5/2026 12:00:00 a. m."
"DIS052","01","SERVICIO DE INGENIERIA P/HORAS EXTRAS","277,88","","4/5/2026 12:00:00 a. m."
"DIS053","01","SERVICIO DE ESPECIALISTA EN INSTRUMENTAC","568,9","","4/5/2026 12:00:00 a. m."
"DIS054","01","INGENIERO AMBIENTAL P-7","43,27","","4/5/2026 12:00:00 a. m."
"DIS055","01","SERVICIO DE GERENCIA DE PROYECTOS/DIARIO","129,34","","4/5/2026 12:00:00 a. m."
"DIS056","01","SERVICIO DE GERENCIA DE INGENIERIA/DIARI","101,05","","4/5/2026 12:00:00 a. m."
"DIS057","01","SERVICIO DE EXPERTO EN PROTECCIONES/DIAR","86,9","","4/5/2026 12:00:00 a. m."
"DIS058","01","SERVICIO DE EXPERTO EN COMUNICACIONES/DI","86,9","","4/5/2026 12:00:00 a. m."
"DIS059","01","SERVICIO DE INGENIERO ELECTRICISTA","64,67","","4/5/2026 12:00:00 a. m."
"DIS060","01","SERVICIO DE COORDINADOR DE CALIDAD/DIA","64,67","","4/5/2026 12:00:00 a. m."
