"CodEqu","CodFam","Descri","CosEqu","CosDia","Deprec","Transp","FecEqu","Dep01","Provee","Man01","Rep01","TipEqu"
"ALB119","00","CORTADORA ELECT. DE METALES 1 3/8"" DISCO","922,7","","0,03","","4/5/2026 12:00:00 a. m.","1","INVERSIONES FERREFIX CA","","",""
"ALB120","00","DOBLADORA AUTOMATICA DE CABILLA HASTA 1 ","2752,78","","0,002","","4/5/2026 12:00:00 a. m.","1","MAQUINARIAS GIANPRO C.A. - ALQUILER","","",""
"ALB121","00","MARTILLO HIDRAULICO POCLAIN MOD. B-70 P/","42359,69","","0,0027","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB122","00","MARTILLO ELECTRICO DEMOLEDOR HILTI O SIM","4955","","0,005","","4/5/2026 12:00:00 a. m.","1","MAQUINARIAS GIANPRO C.A. - ALQUILER","","",""
"ALB123","00","SEÑORITA MANUAL DE CADENA HASTA 5 TON","11,01","","1","","4/5/2026 12:00:00 a. m.","1","DISTRIBUIDORA DIMPERCA C.A.","","",""
"ALB124","00","FRESADORA TIPO UNIVERSAL CON ACCESORIOS","11011,08","","0,003","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB125","00","JUEGO DE LLAVES COMBINADAS 14 PZAS Y ALL","196","","0,006","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB126","00","EQUIPO SILK SCREEN","16,49","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB127","00","JUEGO DE PUNZONES","68,27","","0,01","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB128","00","REGLA VIBRATORIA (EQUIPO LIVIANO MOTORIZ","3303,33","","0,005","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB129","00","VOLTIAMPERIMETRO TIPO PINZA DIGITAL","137,61","","0,03","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB130","00","KIT PARA FLEJE: FLEJADORA / SELLADOR (HE","357,88","","0,003","","4/5/2026 12:00:00 a. m.","1","INDUSTRIAS DE FLEJES Y GRAPAS C.A.","","",""
"ALB131","00","TENSOR TIPO RANA HASTA 4/0","275,29","","0,01","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB132","00","QUEMADOR, SOPLETE, MANGUERA, BOMBONA Y R","132,12","","0,09","","4/5/2026 12:00:00 a. m.","1","OXIGENO BELLO MONTE C.A.","","",""
"ALB133","00","MANGUERA PLASTICA D=1/2"" L=100 MTS (TIPO","187,19","","0,008","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB134","00","JUEGO DESTORNILLADORES 10 PZAS STANLEY","67,17","","0,015","","4/5/2026 12:00:00 a. m.","1","CAMPI FERRETERIA C.A.","","",""
"ALB135","00","CORTADOR DE VIDRIOS","22,01","","0,05","","4/5/2026 12:00:00 a. m.","1","ARFESA ARAGUA FERRETERA S.A.","","",""
"ALB136","00","NIVEL DE 3 BURBUJAS 14"" STANLEY","38,55","","0,011","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB137","00","SEGUETA AJUSTABLE STANLEY (ARCO)","77,06","","0,025","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB138","00","ESCUADRA METALICA ALUMINIO MARCA ESPN (6","28,6","","0,01","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB139","00","ROLLO DE GUARAL (PABILO)","4,4","","0,02","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB140","00","BOMBONA DE GAS / RECIPIENTE (SIN CONSUMI","5,53","","1","","4/5/2026 12:00:00 a. m.","1","GASES INDUSTRIALES DEL ESTE CA-GIE","","",""
"ALB141","00","SERRUCHO 26""","44,03","","0,018","","4/5/2026 12:00:00 a. m.","1","ARFESA ARAGUA FERRETERA S.A.","","",""
"ALB142","00","MAQUINA PULIR Y EMPLOMAR GRANITO 1 HP EL","6606,65","","0,015","","4/5/2026 12:00:00 a. m.","1","FERRETERIA EL GRANITERO C.A.","","",""
"ALB143","00","LLAVES EN JUEGO COMBINADAS PULG. O MILIM","4,4","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB144","00","JUEGO DE DESTORNILLADORES PLANOS Y ESTRI","46,25","","0,015","","4/5/2026 12:00:00 a. m.","1","ARFESA ARAGUA FERRETERA S.A.","","",""
"ALB145","00","EXTENSION ALUMINIO P/RODILLO 1,5 A 3 M P","27,53","","0,04","","4/5/2026 12:00:00 a. m.","1","CA VENEZOLANA DE PINTURAS/PINTACASA","","",""
"ALB146","00","TOBO PLASTICO CAP= 10 LT DE ALBAÑILERIA","13,21","","0,07","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB147","00","CINTA METRICA DE FIBRA 50 M","57,29","","0,01","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB148","00","CEPILLO CARRETERO MEDIANO NRO 14 P/BARRE","17,62","","0,03","","4/5/2026 12:00:00 a. m.","1","ARFESA ARAGUA FERRETERA S.A.","","",""
"ALB149","00","TENAZA CRESCENT DE 8""","44,03","","0,01","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB150","00","VIBRADOR A GASOLINA 5 HP L=5 M MANGUERA/","1651,67","","0,009","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB151","00","EQUIPO P/DEMARCACION LINEAL SOBRE CAMION","14864,98","","0,009","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB152","00","TIJERA PARA PODAR DE 12""","67,17","","0,005","","4/5/2026 12:00:00 a. m.","1","FERRETOTAL CARACAS C.A. / SAVAKE","","",""
"ALB153","00","EQUIPO PARA PREPARAR BENTONITA","77,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
