"CodPar","CodIns","CanIns","Desper","Contad"
"B06041","ACA048","0,55","5","3061"
"B06041","CEM005","0,07","5","3062"
"B06041","MT1823","0,2","3","3063"
"B07001","CAR111","0,16","2","3064"
"B07002","PIN001","0,05","5","3065"
"B07002","PIN212","0,2","5","3066"
"B07005","MT1645","0,1","5","3067"
"B07005","PIN118","0,1","5","3068"
"B07006","MT1645","0,01","5","3069"
"B07006","PIN118","0,01","5","3070"
"B07006","PIN212","0,1","5","3071"
"B07007","CAR018","1","0","3072"
"B07008","CAR024","0,02","2","3073"
"B07008","MT1320","0,5","5","3074"
"B07008","MT72","3","5","3075"
"B07010","CAR018","1","0","3076"
"B07010","CAR114","1","0","3077"
"B07010","CAR146","1","5","3078"
"B07011","CAR018","1","0","3079"
"B07011","CAR145","1","5","3080"
"B07012","ACA127","1","0","3081"
"B07012","CAR046","3","0","3082"
"B07012","CAR103","2,4","0","3083"
"B07012","CAR104","3","0","3084"
"B07012","CAR105","0,05","0","3085"
"B07012","CAR106","0,0133","10","3086"
"B07012","CAR146","1","5","3087"
"B07012","MT173","1","5","3088"
"B07013","CAR147","2","5","3089"
"B07014","ACA131","2","5","3090"
"B07014","CAR061","1","2","3091"
"B07014","MT175","1,5","5","3092"
"B07015","CAR010","1,936","0","3093"
"B07015","CAR025","0,2","3","3094"
"B07015","CAR071","3","5","3095"
"B07015","VAL253","1,936","0","3096"
"B07016","ACA082","1","5","3097"
"B07016","ACA127","1","0","3098"
"B07016","CAR025","0,75","3","3099"
"B07016","CAR148","0,7","10","3100"
"B07016","VAL161","1","0","3101"
"B07017","ACA082","1","5","3102"
"B07017","CAR071","1","5","3103"
"B07017","CAR172","0,5","5","3104"
"B07017","ELE245","1","0","3105"
"B07017","PIN106","0,1","5","3106"
"B07017","REC051","1,5","5","3107"
"B07017","VAL302","1","0","3108"
"B07018","ACA127","1","0","3109"
"B07018","ACA145","0,33","0","3110"
"B07018","CAR014","0,4","5","3111"
"B07018","CAR111","0,5","2","3112"
"B07019","ACA127","1","0","3113"
"B07019","ACA145","0,33","0","3114"
"B07019","CAR014","0,4","5","3115"
"B07019","CAR111","0,5","2","3116"
"B07020","CAR018","1","0","3117"
"B07020","CAR114","1","0","3118"
"B07020","CAR146","1","5","3119"
"B07021","CAR018","1","0","3120"
"B07021","CAR114","1","0","3121"
"B07021","CAR146","1","5","3122"
"B07022","REC053","1","5","3123"
"B07023","CAR144","1","5","3124"
"B07023","PIN001","0,05","5","3125"
"B07023","PIN212","0,1","5","3126"
"B07024","CAR150","1","5","3127"
"B07024","PIN001","0,1","5","3128"
"B07024","PIN212","1","5","3129"
"B07025","CAR151","1","5","3130"
"B07026","ACA080","0,35","5","3131"
"B07026","CAR025","0,2","3","3132"
"B07027","MT1475","0,2","3","3133"
"B07027","PLO059","1","0","3134"
"B07027","PLO098","1","0","3135"
"B07027","PLO099","0,4","5","3136"
"B07027","PLOB48","1","5","3137"
"B07027","SAN007","1","0","3138"
"B07027","VAL246","1","0","3139"
"B07028","CAR049","1","0","3140"
"B07028","VAL188","1","0","3141"
"B07028","VAL254","1","0","3142"
"B07029","ACA126","1","0","3143"
"B07029","ACA127","1","0","3144"
"B07029","C-0010","1","5","3145"
"B07029","MT132","1","5","3146"
"B07030","CAR152","1","10","3147"
"B07030","ELE215","1","0","3148"
"B07031","CAR147","1,25","5","3149"
"B07031","CAR153","1","5","3150"
"B07032","CAR018","1","0","3151"
"B07032","CAR114","1","0","3152"
"B07032","CAR146","1","5","3153"
"B07033","CAR049","1","0","3154"
"B07033","VAL189","1","0","3155"
"B07034","CAR049","1","0","3156"
"B07034","ELC015","1","0","3157"
"B07034","VAL246","1","0","3158"
"B07035","CAR018","1","0","3159"
"B07035","FIS105","0,42","0","3160"
"B07035","VAL246","1","0","3161"
"B07036","CAR018","1","0","3162"
"B07036","CAR049","1","0","3163"
"B07036","VAL265","1","0","3164"
"B07037","CAR049","0,75","0","3165"
"B07037","ELE215","1","0","3166"
"B07037","VAL265","1","0","3167"
"B07038","CAR049","0,75","0","3168"
"B07038","ELE215","1","0","3169"
"B07038","VAL265","1","0","3170"
"B07039","CAR049","0,75","0","3171"
"B07039","ELE215","1","0","3172"
"B07039","VAL265","1","0","3173"
"B07040","CAR010","1","0","3174"
"B07040","CAR025","0,2","3","3175"
"B07040","CAR071","2","5","3176"
