"CodPar","Descri","CovPar","UniPar","RenPar","PreUni","UniCanRen","CanPar","Coste","RPC","UniMed"
"B03004","S/C DE BASES EN LAMINA ESTRIADA 3 MM PARA  COLUMNAS METALICAS INCLUYE PLANCHAS Y CABILLAS","S/C","und","10","","U","","False","","0"
"B03005","S/C DE LAMINA METALICA DE 3 MM PARA VACIADO DE LOSA","S/C","m2","11","","U","","False","","0"
"B03006","SUMINISTRO Y COLOCACION DE LAMINA LOSACERO O SIMILAR CALIBRE 20  (ENCOFRADO COLABORANTE)","S/C","m2","25","","U","","False","","0"
"B03007","S/C DE MALLA TRUCKSON 4'" X 4'" EN PISO","S/C","m2","50","","U","","False","","0"
"B03008","S/C DE MARCO METALICO ESPECIAL, PARA PUERTA DE SEGURIDAD EN AREA OPERATIVA","S/C","und","8","","U","","False","","0"
"B03009","S/C DE PANELES DE HIERRO TIPO ROMANILLA PARA PROTECCION DE UNIDADES DE A/C","S/C","m2","2","","U","","False","","0"
"B03010","S/C DE PUERTA ENTAMBORADA METALICA CAL. 6 MM PARA AREA OPERATIVA","S/C","m2","10","","U","","False","","0"
"B03011","S/C DE REJAS PARA BOVEDA SEGUN MANUAL CORPORATIVO DE BANESCO","S/C","m2","3","","U","","False","","0"
"B03012","S/C DE TUBOS PARA PLANILLEROS ADOSADOS EN PARED DE TAQUILLA EXTERNA BANCARIA","S/C","und","8","","U","","False","","0"
"B03013","S/C DE TUBOS PARA PLANILLEROS DE PEDESTAL PARA TAQUILLA EXTERNA BANCARIA","S/C","und","8","","U","","False","","0"
"B03014","S/I  DE MARCOS METALICOS TIPO RETALACA O SIMILAR PARA PAREDES DE DRY WALL","S/C","m","15","","U","","False","","0"
"B03015","S/I DE BARANDA METALICA CORPORATIVA BANESCO","S/C","m","3","","U","","False","","0"
"B03016","S/I DE CANAL PARA AGUAS DE LLUVIA","S/C","m","25","","U","","False","","0"
"B03017","S/I DE CAÑONERAS EN GARITA EXISTENTE TIPO BANCARIO-BANESCO","S/C","und","8","","U","","False","","0"
"B03018","S/I DE ESTRUCTURA METALICA PARA PAREDES DIVISORIAS (BANCARIA-TIPO BANESCO)","S/C","m","15","","U","","False","","0"
"B03019","S/I DE ESCALERA METALICA CORPORATIVA BANCARIA TIPO BANESCO","S/C","m2","2","","U","","False","","0"
